track_name,genre,artist_name,track_id,year,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
All The Right Moves,Rock,OneRepublic,5XRHGXut00SrJUFmcn2lQF,2010,64,0.284,0.53,238000,0.95,1.01E-05,C,0.211,-3.526,Major,0.0503,146.035,44655,0.733
Naturally,Dance,Selena Gomez & The Scene,1YaVmBh7EAeR54FIjuFcb5,2010,63,0.0211,0.629,202587,0.906,1.17E-06,A#,0.0551,-5.393,Minor,0.0583,132.64,44655,0.847
All The Right Moves,Dance,OneRepublic,5XRHGXut00SrJUFmcn2lQF,2010,63,0.284,0.53,238000,0.95,1.01E-05,C,0.211,-3.526,Major,0.0503,146.035,44655,0.733
Baby,Dance,Ariel Pink,2TUdxbIF3rpY887d8m0ZGV,2010,63,0.435,0.622,287427,0.253,0.471,D,0.0941,-14.36,Major,0.0331,92.584,44655,0.336
Baby,Children’s Music,Ariel Pink,2TUdxbIF3rpY887d8m0ZGV,2010,63,0.435,0.622,287427,0.253,0.471,D,0.0941,-14.36,Major,0.0331,92.584,44655,0.336
Naturally,Pop,Selena Gomez & The Scene,1YaVmBh7EAeR54FIjuFcb5,2010,63,0.0211,0.629,202587,0.906,1.17E-06,A#,0.0551,-5.393,Minor,0.0583,132.64,44655,0.847
Naturally,Rap,Selena Gomez & The Scene,1YaVmBh7EAeR54FIjuFcb5,2010,63,0.0211,0.629,202587,0.906,1.17E-06,A#,0.0551,-5.393,Minor,0.0583,132.64,44655,0.847
Just The Way You Are,Soul,Barry White,1dxf8sLNC4PAm05RfL2ve3,2010,63,0.188,0.564,287867,0.418,2.46E-05,B,0.115,-10.801,Minor,0.0542,74.908,44655,0.327
Alejandro,Dance,Lady Gaga,15pu8u4n3q4BKl4tF20c5v,2010,62,0.00043,0.632,274213,0.789,0.00144,B,0.356,-6.61,Minor,0.0557,98.986,44655,0.35
My First Kiss - feat. Ke$ha,Dance,3OH!3,17tDv8WA8IhqE8qzuQn707,2010,62,0.00564,0.682,192440,0.889,0,C,0.36,-4.166,Major,0.0804,138.021,44655,0.827
?????,Anime,Official HIGE DANdism,5DMEvbg3gUmiR5HIBWdveV,2010,62,0.0585,0.574,202395,0.936,0,D,0.336,-3.185,Major,0.07,149.953,44655,0.793
Try Sleeping with a Broken Heart,R&B,Alicia Keys,1yK9LISg5uBOOW5bT2Wm0i,2010,62,0.158,0.496,249013,0.82,0.246,F,0.13,-5.155,Major,0.112,110.977,44656,0.549
Alejandro,Pop,Lady Gaga,15pu8u4n3q4BKl4tF20c5v,2010,62,0.00043,0.632,274213,0.789,0.00144,B,0.356,-6.61,Minor,0.0557,98.986,44655,0.35
I Like It,Pop,Enrique Iglesias,4nVyHATevhl5RC6Qmoko5H,2010,62,0.0253,0.659,231787,0.935,0,A#,0.0653,-2.739,Minor,0.107,129.048,44655,0.73
My First Kiss - feat. Ke$ha,Pop,3OH!3,17tDv8WA8IhqE8qzuQn707,2010,62,0.00564,0.682,192440,0.889,0,C,0.36,-4.166,Major,0.0804,138.021,44655,0.827
My First Kiss - feat. Ke$ha,Rap,3OH!3,17tDv8WA8IhqE8qzuQn707,2010,62,0.00564,0.682,192440,0.889,0,C,0.36,-4.166,Major,0.0804,138.021,44655,0.827
Teenage Dream,Indie,Sara Farell,68ngc4vLwImhAeWHmXKcEI,2010,62,0.937,0.53,197195,0.0776,0,F#,0.122,-15.478,Major,0.0462,179.911,44652,0.282
3,Jazz,digitalluc,0qcaP8mvOXhTOTlp8lmzsn,2010,62,0.873,0.691,139521,0.296,0.0424,C#,0.103,-11.216,Major,0.242,84.922,44655,0.399
Try Sleeping with a Broken Heart,Soul,Alicia Keys,1yK9LISg5uBOOW5bT2Wm0i,2010,62,0.158,0.496,249013,0.82,0.246,F,0.13,-5.155,Major,0.112,110.977,44656,0.549
I Like It,Dance,Enrique Iglesias,4nVyHATevhl5RC6Qmoko5H,2010,61,0.0253,0.659,231787,0.935,0,A#,0.0653,-2.739,Minor,0.107,129.048,44655,0.73
Hello,Dance,PRETTYMUCH,5O23P3zSmEh3GP9g9NFPBS,2010,61,0.191,0.735,213452,0.579,0,G#,0.113,-4.156,Major,0.0493,94.975,44655,0.671
Hard,Dance,Why Don't We,2xj3BQ7AzGTwUWaroRTVCx,2010,61,0.241,0.548,196473,0.628,0,G,0.109,-5.139,Minor,0.0711,147.847,44655,0.323
Animal,Dance,Trey Songz,2Ju4c6LkBAzhYg5Spp5pWK,2010,61,0.0595,0.542,261213,0.577,1.24E-06,F,0.357,-6.77,Minor,0.0824,161.923,44655,0.332
3,Dance,Britney Spears,6pymOcrCnMuCWdgGVTvUgP,2010,61,0.0452,0.697,213173,0.709,0,F,0.138,-1.917,Minor,0.0455,134.91,44655,0.787
Secrets,Dance,Tiësto,0NIC4unbe5KZOp1d9T7OaF,2010,61,0.000329,0.648,250947,0.812,0.0369,B,0.0857,-7.585,Minor,0.0414,128.178,44655,0.122
Animal,R&B,Trey Songz,2Ju4c6LkBAzhYg5Spp5pWK,2010,61,0.0595,0.542,261213,0.577,1.24E-06,F,0.357,-6.77,Minor,0.0824,161.923,44655,0.332
3,R&B,Britney Spears,6pymOcrCnMuCWdgGVTvUgP,2010,61,0.0452,0.697,213173,0.709,0,F,0.138,-1.917,Minor,0.0455,134.91,44655,0.787
Animal,Children’s Music,Badflower,0CBM2iiBZmfKntDeQYboqU,2010,61,0.0174,0.509,240587,0.597,1.62E-05,F,0.155,-7.255,Major,0.0369,76.18,44655,0.341
Animal,Hip-Hop,Trey Songz,2Ju4c6LkBAzhYg5Spp5pWK,2010,61,0.0595,0.542,261213,0.577,1.24E-06,F,0.357,-6.77,Minor,0.0824,161.923,44655,0.332
Animal,Indie,Miike Snow,6vSq5q5DCs1IvwKIq53hj2,2010,61,0.0155,0.774,263427,0.734,1.71E-05,F#,0.0933,-6.536,Minor,0.0777,118.021,44655,0.639
Misery,Pop,Maroon 5,6KBYk8OFtod7brGuZ3Y67q,2010,61,0.000315,0.704,216200,0.81,0,E,0.216,-4.874,Minor,0.0425,102.98,44655,0.726
Imma Be,Pop,The Black Eyed Peas,5OiLJ8tjUPFiPX2gVM8fxJ,2010,61,0.184,0.619,257560,0.539,0,C,0.288,-6.9,Major,0.387,145.618,0/4,0.424
Hello,Pop,PRETTYMUCH,5O23P3zSmEh3GP9g9NFPBS,2010,61,0.191,0.735,213452,0.579,0,G#,0.113,-4.156,Major,0.0493,94.975,44655,0.671
Hard,Pop,Why Don't We,2xj3BQ7AzGTwUWaroRTVCx,2010,61,0.241,0.548,196473,0.628,0,G,0.109,-5.139,Minor,0.0711,147.847,44655,0.323
Animal,Pop,Miike Snow,6vSq5q5DCs1IvwKIq53hj2,2010,61,0.0155,0.774,263427,0.734,1.71E-05,F#,0.0933,-6.536,Minor,0.0777,118.021,44655,0.639
Imma Be,Rap,The Black Eyed Peas,5OiLJ8tjUPFiPX2gVM8fxJ,2010,61,0.184,0.619,257560,0.539,0,C,0.288,-6.9,Major,0.387,145.618,0/4,0.424
Take It Off,Rap,Kesha,0WCiI0ddWiu5F2kSHgfw5S,2010,61,4.14E-05,0.729,215200,0.675,0.00126,F,0.0867,-5.292,Minor,0.0286,125.036,44655,0.74
Animal,Rap,Trey Songz,2Ju4c6LkBAzhYg5Spp5pWK,2010,61,0.0595,0.542,261213,0.577,1.24E-06,F,0.357,-6.77,Minor,0.0824,161.923,44655,0.332
3,Rap,Britney Spears,6pymOcrCnMuCWdgGVTvUgP,2010,61,0.0452,0.697,213173,0.709,0,F,0.138,-1.917,Minor,0.0455,134.91,44655,0.787
